transcriptid	foldchange.1	foldchange.2	DEstatus.1	DEstatus.2
NM_001290542.2	1	1.34332297113757	FALSE	TRUE
NM_001411600.1	1	2.14804915512806	FALSE	TRUE
XM_036165528.1	1	1.91961017028273	FALSE	TRUE
NM_029722.3	1	1	FALSE	FALSE
NM_001373888.1	1	2.18476130748996	FALSE	TRUE
XM_011246692.4	1	1	FALSE	FALSE
NM_001378740.1	1	1	FALSE	FALSE
XM_036153289.1	1	1.74101307211304	FALSE	TRUE
NM_021314.5	1	1	FALSE	FALSE
XM_036161254.1	1	2.21464262340209	FALSE	TRUE
XM_011250406.4	1	2.30803277024739	FALSE	TRUE
NM_001403993.1	1	2.15973609163901	FALSE	TRUE
NM_001412506.1	1	1	FALSE	FALSE
NM_001083945.1	1	1.744084765951	FALSE	TRUE
NM_001302095.1	1	2.70788284199173	FALSE	TRUE
NM_001162366.2	1	1	FALSE	FALSE
NM_007663.3	1	1	FALSE	FALSE
XM_036157275.1	1	1.69389807638041	FALSE	TRUE
XM_006520252.1	1	1.89541699217371	FALSE	TRUE
NM_172500.4	1	2.15967671873312	FALSE	TRUE
NM_052976.4	1	2.5206507718829	FALSE	TRUE
NM_146078.4	1	2.02920873091875	FALSE	TRUE
XM_017319820.3	1	1	FALSE	FALSE
NM_001204201.1	1	1.91871666249714	FALSE	TRUE
NM_001110515.2	1	1	FALSE	FALSE
XM_006499763.3	1	1.78488207925685	FALSE	TRUE
NM_025274.3	1	1	FALSE	FALSE
XM_006520431.2	1	1	FALSE	FALSE
XM_030247865.2	1	1	FALSE	FALSE
XM_011241501.2	1	1	FALSE	FALSE
NM_019767.2	1	2.78998644029048	FALSE	TRUE
NM_206871.3	1	1	FALSE	FALSE
NM_008099.4	1	1	FALSE	FALSE
XM_036159650.1	1	1	FALSE	FALSE
NM_026915.4	1	1	FALSE	FALSE
XM_006509055.5	1	1.74358814458101	FALSE	TRUE
XM_006496018.3	1	1	FALSE	FALSE
NM_001253860.1	1	2.02579489792695	FALSE	TRUE
NM_001363321.1	1	1	FALSE	FALSE
NM_019998.3	1	1.19992948589399	FALSE	TRUE
XM_006510829.5	1	1	FALSE	FALSE
XM_017314541.2	1	1.60269564721083	FALSE	TRUE
XM_030247724.1	1	1	FALSE	FALSE
NM_001357597.1	1	2.34305987375166	FALSE	TRUE
XM_036161770.1	1	1	FALSE	FALSE
NM_019634.2	1	1	FALSE	FALSE
XM_006497879.5	1	1.92625537474181	FALSE	TRUE
XM_006510689.5	1	1	FALSE	FALSE
XM_011243664.2	1	2.20813115095004	FALSE	TRUE
NM_001195130.1	1	1	FALSE	FALSE
NM_178689.5	1	1	FALSE	FALSE
NM_001421761.1	1	2.24599374657188	FALSE	TRUE
NM_001347468.1	1	2.36482000265745	FALSE	TRUE
NM_013872.4	1	1	FALSE	FALSE
NM_025417.2	1	1	FALSE	FALSE
XM_036156024.1	1	1	FALSE	FALSE
XM_030245553.1	1	1	FALSE	FALSE
NM_001415947.1	1	1	FALSE	FALSE
NM_001357787.1	1	1	FALSE	FALSE
NM_021310.3	1	2.34081919528303	FALSE	TRUE
XM_011248335.3	1	1	FALSE	FALSE
XM_006533902.3	1	1	FALSE	FALSE
XM_006520937.5	1	1	FALSE	FALSE
XM_030250541.2	1	3.27466764400024	FALSE	TRUE
NM_001168569.1	1	2.76756257513304	FALSE	TRUE
XM_011249978.4	1	1	FALSE	FALSE
XM_011239526.3	1	1	FALSE	FALSE
NM_001422139.1	1	2.63351985790446	FALSE	TRUE
XM_036152441.1	1	1.59955847230703	FALSE	TRUE
NM_198608.2	1	1	FALSE	FALSE
NM_001408568.1	1	1	FALSE	FALSE
NM_001271729.1	1	1	FALSE	FALSE
NM_001419959.1	1	1	FALSE	FALSE
XM_006503742.5	1	2.65169413715365	FALSE	TRUE
XM_030244217.2	1	1	FALSE	FALSE
XM_036162266.1	1	2.13182680148289	FALSE	TRUE
NM_001310469.2	1	2.67318616344094	FALSE	TRUE
NM_020594.2	1	2.86204309238237	FALSE	TRUE
XM_030252487.1	1	1	FALSE	FALSE
XM_006518708.3	1	1	FALSE	FALSE
NM_026448.3	1	1	FALSE	FALSE
NM_178659.6	1	1	FALSE	FALSE
XM_006513295.5	1	1.55775003837508	FALSE	TRUE
XM_036155971.1	1	1	FALSE	FALSE
NM_007455.5	1	1	FALSE	FALSE
XM_006523846.4	1	1.82672658590016	FALSE	TRUE
XM_030250841.1	1	1	FALSE	FALSE
NM_001412650.1	1	1	FALSE	FALSE
NM_001379136.1	1	2.42627615366884	FALSE	TRUE
NM_025975.5	1	1	FALSE	FALSE
XM_030250054.1	1	1	FALSE	FALSE
NM_180678.3	1	2.57574946817104	FALSE	TRUE
XM_006515700.2	1	1.58626672542839	FALSE	TRUE
XM_036152750.1	1	1.86180605985176	FALSE	TRUE
XM_006522370.4	1	2.36684438895154	FALSE	TRUE
XM_036161063.1	1	1	FALSE	FALSE
NM_001177756.1	1	2.18568224279182	FALSE	TRUE
XM_036163513.1	1	1	FALSE	FALSE
XM_006514374.5	1	1	FALSE	FALSE
NM_001419242.1	1	1	FALSE	FALSE
XM_036163881.1	1	1.76000940404277	FALSE	TRUE
NM_001289593.1	1	1	FALSE	FALSE
XM_030244750.1	1	1.91911846658852	FALSE	TRUE
NM_010939.2	1	1	FALSE	FALSE
XM_030250373.2	1	1	FALSE	FALSE
NM_001166633.2	1	1	FALSE	FALSE
XM_030250425.2	1	1.65741053805021	FALSE	TRUE
XM_011249558.3	1	1	FALSE	FALSE
NM_198612.2	1	1	FALSE	FALSE
XM_011247986.4	1	3.04216196007666	FALSE	TRUE
XM_006523612.4	1	1	FALSE	FALSE
XM_030246854.1	1	1	FALSE	FALSE
NM_001168220.2	1	1.94111464628365	FALSE	TRUE
XM_030242802.2	1	2.04618350501886	FALSE	TRUE
XM_006521245.2	1	1	FALSE	FALSE
NM_001357963.1	1	1	FALSE	FALSE
NM_001404009.1	1	1	FALSE	FALSE
NM_001403713.1	1	1	FALSE	FALSE
XM_006513640.3	1	1	FALSE	FALSE
XM_006535515.1	1	1	FALSE	FALSE
NM_007998.8	1	1.93916696347118	FALSE	TRUE
XM_006533386.5	1	1	FALSE	FALSE
XM_006532884.2	1	1	FALSE	FALSE
NM_207635.3	1	2.56651995782393	FALSE	TRUE
NM_001112798.2	1	2.9922181526499	FALSE	TRUE
XM_011247784.3	1	1	FALSE	FALSE
XM_030242621.2	1	1.84708033226398	FALSE	TRUE
NM_001033239.3	1	2.54604368176542	FALSE	TRUE
NM_001407191.1	1	1	FALSE	FALSE
XM_006500713.4	1	1	FALSE	FALSE
XM_036157175.1	1	1.71001415399592	FALSE	TRUE
XM_036157071.1	1	1	FALSE	FALSE
XM_036161234.1	1	1.83696209483674	FALSE	TRUE
NM_029144.5	1	1	FALSE	FALSE
NM_028018.2	1	1	FALSE	FALSE
XM_030245394.1	1	1	FALSE	FALSE
XM_036157750.1	1	1	FALSE	FALSE
XM_030247849.2	1	1	FALSE	FALSE
XM_006522861.5	1	1.695042516594	FALSE	TRUE
NM_001416066.1	1	2.77172961806861	FALSE	TRUE
NM_027827.3	1	1	FALSE	FALSE
NM_001411237.1	1	2.30620887712346	FALSE	TRUE
NM_001347444.1	1	1	FALSE	FALSE
XM_030242992.2	1	1.59275516320323	FALSE	TRUE
NM_001253819.1	1	1.31660546186838	FALSE	TRUE
NM_001405063.1	1	1.61428254575503	FALSE	TRUE
NM_008444.4	1	1	FALSE	FALSE
NM_001270537.2	1	1	FALSE	FALSE
NM_001362560.1	1	1	FALSE	FALSE
NM_028632.2	1	1	FALSE	FALSE
NM_001425501.1	1	1	FALSE	FALSE
NM_009230.3	1	1	FALSE	FALSE
NM_001402915.1	1	1	FALSE	FALSE
NM_009955.3	1	1	FALSE	FALSE
XM_036155308.1	1	1.68477884717193	FALSE	TRUE
NM_007799.3	1	1	FALSE	FALSE
NM_172152.4	1	1	FALSE	FALSE
NM_001302938.2	1	1	FALSE	FALSE
NM_001358957.1	1	1.82106122912473	FALSE	TRUE
XM_017313645.3	1	1	FALSE	FALSE
XM_017317359.1	1	1.76601624296216	FALSE	TRUE
XM_036156796.1	1	1	FALSE	FALSE
XM_006517177.3	1	2.11496118038239	FALSE	TRUE
NM_001368747.1	1	1	FALSE	FALSE
NM_008904.3	1	2.18378598597898	FALSE	TRUE
XM_036153675.1	1	2.20766027010309	FALSE	TRUE
NM_001420301.1	1	1	FALSE	FALSE
XM_030247457.1	1	2.10887278714252	FALSE	TRUE
NM_011253.2	1	2.80965376708856	FALSE	TRUE
XM_006516054.4	1	2.19120536579181	FALSE	TRUE
NM_001416471.1	1	1	FALSE	FALSE
NM_145543.2	1	1	FALSE	FALSE
NM_172740.2	1	1	FALSE	FALSE
XM_006517056.2	1	1	FALSE	FALSE
XM_006527510.3	1	1	FALSE	FALSE
NM_007615.4	1	2.56685397779432	FALSE	TRUE
NM_010217.2	1	1	FALSE	FALSE
XM_006507608.3	1	1	FALSE	FALSE
NM_001410372.1	1	1	FALSE	FALSE
XM_006506756.4	1	2.47587780764701	FALSE	TRUE
XM_036159055.1	1	1	FALSE	FALSE
XM_036154890.1	1	1	FALSE	FALSE
NM_172399.3	1	1	FALSE	FALSE
NM_029084.3	1	1.81516469969717	FALSE	TRUE
NM_001401385.1	1	1	FALSE	FALSE
NM_011654.2	1	1.72069273364353	FALSE	TRUE
NM_001427346.1	1	1	FALSE	FALSE
NM_011789.2	1	1	FALSE	FALSE
NM_001302467.1	1	1	FALSE	FALSE
NM_001039386.2	1	1.7529642835425	FALSE	TRUE
XM_006498910.5	1	2.43029658988067	FALSE	TRUE
NM_001277284.2	1	1	FALSE	FALSE
XM_006498734.2	1	2.23976718008641	FALSE	TRUE
NM_001252525.1	1	1	FALSE	FALSE
NM_001159743.2	1	2.62499588246511	FALSE	TRUE
NM_001406083.1	1	1	FALSE	FALSE
XM_006514075.4	1	1	FALSE	FALSE
XM_036162249.1	1	1	FALSE	FALSE
XM_017320797.3	1	1.68479249376199	FALSE	TRUE
XM_036158877.1	1	2.1456445047092	FALSE	TRUE
XM_006498698.4	1	1	FALSE	FALSE
XM_006513556.3	1	1	FALSE	FALSE
XM_030254629.2	1	1	FALSE	FALSE
XM_036162413.1	1	1	FALSE	FALSE
XM_030243671.2	1	1	FALSE	FALSE
NM_001418352.1	1	1	FALSE	FALSE
NM_018855.3	1	1	FALSE	FALSE
XM_006512477.5	1	1	FALSE	FALSE
NM_011444.3	1	1	FALSE	FALSE
XM_006538423.5	1	1	FALSE	FALSE
XM_036158386.1	1	1.4581773420763	FALSE	TRUE
NM_016860.2	1	1	FALSE	FALSE
NM_001285805.1	1	1	FALSE	FALSE
XM_036159344.1	1	2.14735702409103	FALSE	TRUE
NM_001379066.1	1	2.23887855645585	FALSE	TRUE
XM_006526492.5	1	1	FALSE	FALSE
NM_029635.3	1	1	FALSE	FALSE
XM_006520644.1	1	1	FALSE	FALSE
XM_011241702.3	1	2.53207131242726	FALSE	TRUE
NM_001166033.1	1	1	FALSE	FALSE
NM_001289856.1	1	1.91216462288715	FALSE	TRUE
XM_017319062.1	1	1.9188115956341	FALSE	TRUE
NM_001242934.1	1	2.56113817583041	FALSE	TRUE
XM_030249938.1	1	1	FALSE	FALSE
XM_036156320.1	1	1	FALSE	FALSE
NM_001410520.1	1	1	FALSE	FALSE
NM_001420129.1	1	2.9496526946449	FALSE	TRUE
NM_001033422.1	1	1.70506086866805	FALSE	TRUE
NM_001355162.1	1	1	FALSE	FALSE
XM_036163565.1	1	1.85459837718585	FALSE	TRUE
NM_001033439.3	1	1.85306862919895	FALSE	TRUE
XM_011246055.4	1	1	FALSE	FALSE
XM_006500121.3	1	1	FALSE	FALSE
XM_036160830.1	1	1	FALSE	FALSE
XM_006504236.4	1	1.34399792182572	FALSE	TRUE
NM_021318.5	1	1	FALSE	FALSE
NM_001404706.1	1	2.39780597565731	FALSE	TRUE
XM_017320239.1	1	1	FALSE	FALSE
XM_030245800.2	1	1.73822157036822	FALSE	TRUE
XM_030243639.2	1	1.70664753203876	FALSE	TRUE
NM_001421813.1	1	1	FALSE	FALSE
XM_030244157.2	1	2.99090711348283	FALSE	TRUE
NM_001404764.1	1	1	FALSE	FALSE
NM_001037326.2	1	1	FALSE	FALSE
NM_001388454.1	1	1	FALSE	FALSE
XM_030252188.2	1	2.04026838969362	FALSE	TRUE
NM_001378642.1	1	1	FALSE	FALSE
XM_011241019.3	1	1.72698537191089	FALSE	TRUE
XM_006524548.5	1	1.8856541180571	FALSE	TRUE
NM_001039967.1	1	1.98689762359709	FALSE	TRUE
NM_001426346.1	1	1	FALSE	FALSE
NM_178925.4	1	1.65933376955625	FALSE	TRUE
NM_010201.5	1	1	FALSE	FALSE
NM_001379655.1	1	1	FALSE	FALSE
NM_009423.4	1	1.78322363068487	FALSE	TRUE
XM_030245081.2	1	1	FALSE	FALSE
XM_036161210.1	1	1.80251782711588	FALSE	TRUE
NM_026789.5	1	1	FALSE	FALSE
NM_001081135.3	1	2.09583435052129	FALSE	TRUE
NM_001425408.1	1	2.24184706490691	FALSE	TRUE
XM_030244688.2	1	1.89782332089159	FALSE	TRUE
NM_023247.2	1	1	FALSE	FALSE
XM_017312712.1	1	1	FALSE	FALSE
NM_144784.3	1	1	FALSE	FALSE
XM_036157353.1	1	1	FALSE	FALSE
XM_036162617.1	1	1	FALSE	FALSE
XM_036163642.1	1	1	FALSE	FALSE
NM_001164584.2	1	1	FALSE	FALSE
NM_178761.5	1	2.60701456106986	FALSE	TRUE
XM_011240975.4	1	1	FALSE	FALSE
XM_006532682.3	1	1	FALSE	FALSE
XM_006519203.4	1	2.60328372764313	FALSE	TRUE
XM_006516704.4	1	1	FALSE	FALSE
NM_001417840.1	1	1.83878101433463	FALSE	TRUE
NM_001416052.1	1	1.77549423427614	FALSE	TRUE
XM_036164094.1	1	2.16473856723418	FALSE	TRUE
XM_011247851.3	1	2.07841131706882	FALSE	TRUE
NM_001411692.1	1	1	FALSE	FALSE
NM_001359830.1	1	1	FALSE	FALSE
XM_006522660.3	1	1.95784117142134	FALSE	TRUE
NM_001359090.1	1	1	FALSE	FALSE
NM_134083.4	1	1.7981443914055	FALSE	TRUE
XM_006529991.3	1	1	FALSE	FALSE
NM_001409622.1	1	1	FALSE	FALSE
NM_144832.2	1	1.53530906784955	FALSE	TRUE
NM_001411878.1	1	1	FALSE	FALSE
XM_036162376.1	1	1	FALSE	FALSE
NM_183036.2	1	1	FALSE	FALSE
NM_001033321.2	1	2.16008306758396	FALSE	TRUE
XM_006512617.2	1	2.75856333148018	FALSE	TRUE
NM_001368622.1	1	1	FALSE	FALSE
NM_001110497.1	1	1	FALSE	FALSE
NM_001160251.1	1	1	FALSE	FALSE
XM_030244049.1	1	2.03754029126028	FALSE	TRUE
XM_011238471.4	1	1	FALSE	FALSE
NM_001358356.2	1	1	FALSE	FALSE
NM_025899.2	1	1	FALSE	FALSE
XM_006538996.4	1	1	FALSE	FALSE
NM_016927.3	1	1	FALSE	FALSE
NM_001254735.1	1	2.11681689161374	FALSE	TRUE
XM_011247722.3	1	1.60953854169722	FALSE	TRUE
XM_035096944.2	1	1	FALSE	FALSE
XM_036155502.1	1	1	FALSE	FALSE
XM_036155861.1	1	1	FALSE	FALSE
XM_006522213.5	1	1	FALSE	FALSE
XM_030245225.1	1	1	FALSE	FALSE
XM_036155469.1	1	2.14597119205102	FALSE	TRUE
NM_001408255.1	1	2.22468617604054	FALSE	TRUE
XM_006530092.4	1	1	FALSE	FALSE
XM_006520168.5	1	1	FALSE	FALSE
NM_001417428.1	1	1	FALSE	FALSE
NM_019965.3	1	1	FALSE	FALSE
XM_036162146.1	1	1	FALSE	FALSE
NM_001406979.1	1	1	FALSE	FALSE
NM_001033253.3	1	2.53280529652288	FALSE	TRUE
XM_006510442.4	1	1.89319691064309	FALSE	TRUE
XM_036156422.1	1	1	FALSE	FALSE
NM_001357236.1	1	1.81439787144343	FALSE	TRUE
NM_023116.5	1	1.68612461615934	FALSE	TRUE
XM_011250012.4	1	1	FALSE	FALSE
NM_008832.2	1	1	FALSE	FALSE
NM_001363031.1	1	2.49066142366772	FALSE	TRUE
XM_011246012.4	1	1	FALSE	FALSE
NM_026423.4	1	1	FALSE	FALSE
XM_006517293.3	1	2.1728888288944	FALSE	TRUE
NM_007900.4	1	1	FALSE	FALSE
NM_001420960.1	1	1	FALSE	FALSE
XM_011248570.2	1	2.48245444983184	FALSE	TRUE
NM_001413502.1	1	2.09460259686172	FALSE	TRUE
XM_036155461.1	1	1.98742551391664	FALSE	TRUE
XM_011247479.1	1	1	FALSE	FALSE
XM_030251266.1	1	1	FALSE	FALSE
NM_001195529.1	1	2.32695113505006	FALSE	TRUE
XM_030249154.1	1	1	FALSE	FALSE
XM_006524566.5	1	1	FALSE	FALSE
XM_030250315.2	1	2.11374984720044	FALSE	TRUE
NM_177562.5	1	1.85067928286198	FALSE	TRUE
NM_029019.4	1	1.63368956007037	FALSE	TRUE
NM_001099920.1	1	1.53071944682696	FALSE	TRUE
XM_006534179.5	1	1.96971747839189	FALSE	TRUE
NM_010016.5	1	2.42919890602615	FALSE	TRUE
XM_030246834.2	1	1	FALSE	FALSE
XM_006509657.5	1	1	FALSE	FALSE
NM_001404113.1	1	1.75183095977133	FALSE	TRUE
NM_001417071.1	1	2.12859939911975	FALSE	TRUE
XM_006505735.3	1	1.53433495457898	FALSE	TRUE
XM_030251054.1	1	2.13645529425685	FALSE	TRUE
NM_146242.2	1	1	FALSE	FALSE
NM_001361484.1	1	2.08973614941663	FALSE	TRUE
NM_001359616.1	1	1	FALSE	FALSE
NM_001410252.1	1	1	FALSE	FALSE
NM_001103165.2	1	1.54381025768002	FALSE	TRUE
XM_030242418.2	1	1	FALSE	FALSE
NM_144858.2	1	1	FALSE	FALSE
XM_036165580.1	1	1	FALSE	FALSE
XM_011242319.3	1	1	FALSE	FALSE
XM_011247096.2	1	1	FALSE	FALSE
XM_006516692.4	1	1.87869703708107	FALSE	TRUE
NM_001377076.1	1	1	FALSE	FALSE
NM_001418656.1	1	1	FALSE	FALSE
XM_011247159.2	1	2.31766371186925	FALSE	TRUE
NM_178883.6	1	1	FALSE	FALSE
XM_036166251.1	1	1	FALSE	FALSE
NM_001163141.1	1	1	FALSE	FALSE
XM_030246364.2	1	1	FALSE	FALSE
XM_036157736.1	1	1	FALSE	FALSE
NM_001163471.1	1	1.54042112725197	FALSE	TRUE
NM_172606.3	1	1	FALSE	FALSE
XM_036157143.1	1	1	FALSE	FALSE
XM_017318152.2	1	1	FALSE	FALSE
XM_036160793.1	1	2.62098585437565	FALSE	TRUE
NM_001289547.1	1	1.66488565013094	FALSE	TRUE
XM_006541497.4	1	1	FALSE	FALSE
XM_036166096.1	1	1	FALSE	FALSE
NM_001166503.1	1	1	FALSE	FALSE
XM_030250921.2	1	1.69965477070991	FALSE	TRUE
NM_001311112.1	1	1	FALSE	FALSE
NM_001403594.1	1	1	FALSE	FALSE
XM_006514494.5	1	1	FALSE	FALSE
NM_001374714.1	1	1	FALSE	FALSE
NM_001361200.1	1	1	FALSE	FALSE
XM_036155176.1	1	1	FALSE	FALSE
XM_036165635.1	1	1.81619302979826	FALSE	TRUE
NM_001359546.1	1	1	FALSE	FALSE
XM_011243630.4	1	1	FALSE	FALSE
XM_006522242.5	1	1.94875446555241	FALSE	TRUE
XM_006512059.4	1	1	FALSE	FALSE
XM_006495470.1	1	1	FALSE	FALSE
XM_030254696.2	1	1	FALSE	FALSE
NM_001285795.1	1	1	FALSE	FALSE
XM_036157867.1	1	2.0698889771328	FALSE	TRUE
NM_001378926.1	1	2.07289385535972	FALSE	TRUE
XM_006506152.5	1	1	FALSE	FALSE
XM_030248759.2	1	1	FALSE	FALSE
NM_027828.2	1	1	FALSE	FALSE
NM_001293684.1	1	1.93180991905497	FALSE	TRUE
XM_036160627.1	1	1	FALSE	FALSE
XM_006528487.4	1	1	FALSE	FALSE
NM_152822.3	1	1.6069567033764	FALSE	TRUE
XM_006520552.4	1	1	FALSE	FALSE
NM_025979.4	1	1	FALSE	FALSE
NM_010930.5	1	1	FALSE	FALSE
NM_001410680.1	1	1	FALSE	FALSE
XM_006508258.4	1	1	FALSE	FALSE
XM_006541133.2	1	1	FALSE	FALSE
XM_030253317.1	1	1	FALSE	FALSE
NM_001357111.1	1	1	FALSE	FALSE
NM_020568.4	1	1	FALSE	FALSE
XM_017318491.3	1	1	FALSE	FALSE
NM_001128599.1	1	1	FALSE	FALSE
NM_001001130.3	1	1	FALSE	FALSE
XM_006521810.5	1	3.01072622532535	FALSE	TRUE
XM_030242870.2	1	1	FALSE	FALSE
NM_033570.2	1	1	FALSE	FALSE
XM_017312396.3	1	1	FALSE	FALSE
XM_006522545.5	1	1	FALSE	FALSE
XM_036157043.1	1	1	FALSE	FALSE
NM_030557.3	1	1	FALSE	FALSE
XM_036160229.1	1	1	FALSE	FALSE
XM_011241766.3	1	1.49914843008487	FALSE	TRUE
XM_006502319.3	1	1	FALSE	FALSE
NM_029005.3	1	1	FALSE	FALSE
NM_183424.4	1	1.67636983911369	FALSE	TRUE
XM_030252528.2	1	1	FALSE	FALSE
XM_030253708.2	1	1.80474384159011	FALSE	TRUE
NM_001421384.1	1	1.72679409403681	FALSE	TRUE
XM_011250088.1	1	1	FALSE	FALSE
NM_027531.2	1	1.58001613511369	FALSE	TRUE
XM_036155832.1	1	2.03405385788477	FALSE	TRUE
XM_036161475.1	1	2.07463634517707	FALSE	TRUE
NM_001362028.1	1	1	FALSE	FALSE
NM_009457.5	1	1	FALSE	FALSE
NM_001278115.1	1	2.0513230572651	FALSE	TRUE
XM_036162001.1	1	1	FALSE	FALSE
XM_030250181.2	1	1	FALSE	FALSE
NM_001081056.3	1	2.10980232845648	FALSE	TRUE
XM_036153746.1	1	1	FALSE	FALSE
XM_011247758.2	1	1	FALSE	FALSE
XM_036161307.1	1	1.43472146277363	FALSE	TRUE
XM_006527084.5	1	1	FALSE	FALSE
XM_030245784.2	1	1.56826719956768	FALSE	TRUE
XM_030246775.2	1	1	FALSE	FALSE
XM_011240735.2	1	1.22812474503574	FALSE	TRUE
NM_001416288.1	1	1	FALSE	FALSE
NM_010634.3	1	1	FALSE	FALSE
XM_011240742.3	1	2.22352145352722	FALSE	TRUE
XM_006538824.5	1	1	FALSE	FALSE
XM_030241989.1	1	1	FALSE	FALSE
NM_001293749.1	1	1	FALSE	FALSE
XM_006537591.4	1	1.79616040667261	FALSE	TRUE
XM_030255369.2	1	1	FALSE	FALSE
NM_172448.4	1	1	FALSE	FALSE
NM_001372538.1	1	1.73360459264608	FALSE	TRUE
XM_030244541.2	1	1.87030277489757	FALSE	TRUE
XM_030253040.2	1	2.69408701909172	FALSE	TRUE
NM_029879.2	1	1	FALSE	FALSE
XM_006525155.4	1	1.62704144823174	FALSE	TRUE
NM_013544.3	1	1.71561987327195	FALSE	TRUE
NM_001033136.3	1	1	FALSE	FALSE
XM_011239205.3	1	1	FALSE	FALSE
NM_001359861.1	1	1.98604793523865	FALSE	TRUE
XM_036155552.1	1	1	FALSE	FALSE
XM_030254727.1	1	2.79758247077104	FALSE	TRUE
NM_033616.4	1	1	FALSE	FALSE
XM_036163203.1	1	2.44587943320092	FALSE	TRUE
XM_036159601.1	1	1.56431946840585	FALSE	TRUE
XM_006529214.2	1	1.56702417448857	FALSE	TRUE
XM_006509277.4	1	1	FALSE	FALSE
NM_013799.4	1	1.81298027431424	FALSE	TRUE
NM_001416161.1	1	1	FALSE	FALSE
XM_006501343.5	1	1	FALSE	FALSE
XM_030247063.2	1	2.21563232461635	FALSE	TRUE
NM_001406934.1	1	1	FALSE	FALSE
NM_001412264.1	1	1	FALSE	FALSE
XM_006495932.3	1	1	FALSE	FALSE
NM_001411411.1	1	1.87765678159309	FALSE	TRUE
XM_030245362.2	1	2.95053001019235	FALSE	TRUE
XM_006496409.5	1	1	FALSE	FALSE
XM_006533353.1	1	1	FALSE	FALSE
XM_030246285.2	1	1	FALSE	FALSE
XM_006501741.2	1	2.27854136869266	FALSE	TRUE
XM_030243460.2	1	1	FALSE	FALSE
XM_006527389.4	1	1	FALSE	FALSE
XM_017322327.3	1	1	FALSE	FALSE
